id,title,vote_count,popularity
14161,2012,12481,11.3828
530915,1917,13235,11.4483
857,Saving Private Ryan,16812,12.5868
101,Léon: The Professional,15718,12.6755
82702,How to Train Your Dragon 2,10209,11.5224
38,Eternal Sunshine of the Spotless Mind,15963,12.3862
78,Blade Runner,14635,11.6666
508442,Soul,11136,11.862
118,Charlie and the Chocolate Factory,15866,13.3115
12155,Alice in Wonderland,14570,12.7995
568124,Encanto,10010,10.8531
194,Amélie,12144,11.9328
286217,The Martian,20758,11.6352
313369,La La Land,17769,13.0541
242582,Nightcrawler,11430,11.5357
62,2001: A Space Odyssey,12291,11.9031
10674,Mulan,10236,11.6273
57158,The Hobbit: The Desolation of Smaug,13882,11.9134
329865,Arrival,18903,11.666
812,Aladdin,11794,11.856
6977,No Country for Old Men,12927,10.6237
197,Braveheart,10825,10.6581
102651,Maleficent,13545,11.411
152601,Her,14996,11.7661
162,Edward Scissorhands,13535,12.2479
20352,Despicable Me,15792,12.0839
291805,Now You See Me 2,11329,12.2967
146233,Prisoners,12694,11.0493
490132,Green Book,12521,11.2068
49521,Man of Steel,15882,12.0351
419430,Get Out,18464,11.5468
263115,Logan,20078,10.1193
284054,Black Panther,23102,11.3093
324552,John Wick: Chapter 2,13927,11.4202
383498,Deadpool 2,18869,11.3537
1724,The Incredible Hulk,12437,10.454
284052,Doctor Strange,23088,10.4969
301528,Toy Story 4,10311,10.3018
168259,Furious 7,11099,11.0018
77338,The Intouchables,18088,10.5518
140607,Star Wars: The Force Awakens,20222,10.7898
102382,The Amazing Spider-Man 2,13939,11.8011
281957,The Revenant,18950,11.4349
398818,Call Me by Your Name,12552,9.98
351286,Jurassic World: Fallen Kingdom,12502,11.0561
629,The Usual Suspects,11093,11.0469
607,Men in Black,14521,11.3541
135397,Jurassic World,21250,12.6185
920,Cars,14821,10.8785
260513,Incredibles 2,13459,10.3475
206647,Spectre,11003,10.9257
141052,Justice League,13460,10.2084
458156,John Wick: Chapter 3 - Parabellum,11439,10.3098
68726,Pacific Rim,13076,11.0916
166426,Pirates of the Caribbean: Dead Men Tell No Tales,12576,10.5857
566525,Shang-Chi and the Legend of the Ten Rings,10135,10.5625
119450,Dawn of the Planet of the Apes,11997,10.7929
454626,Sonic the Hedgehog,10220,9.9358
70981,Prometheus,12955,10.6742
539,Psycho,10744,10.9565
273248,The Hateful Eight,14943,11.643
37724,Skyfall,15839,9.7371
181808,Star Wars: The Last Jedi,16041,9.0404
604,The Matrix Reloaded,11657,10.2209
62211,Monsters University,11119,10.6879
101299,The Hunger Games: Catching Fire,18138,11.1852
72105,Ted,12923,9.4924
207703,Kingsman: The Secret Service,17525,10.346
181812,Star Wars: The Rise of Skywalker,10569,10.8665
240832,Lucy,16783,10.3274
447332,A Quiet Place,15021,10.0822
77,Memento,15823,9.5348
110415,Snowpiercer,10184,9.9903
82690,Wreck-It Ralph,12856,11.6221
76338,Thor: The Dark World,18048,9.9423
37799,The Social Network,12853,9.475
161,Ocean's Eleven,12269,9.881
299537,Captain Marvel,16470,9.3489
420817,Aladdin,10468,9.5361
950,Ice Age: The Meltdown,10171,9.6224
